ID,marital,education,job,default
162,married,basic.9y,blue-collar,
163,married,basic.9y,blue-collar,
164,divorced,high.school,services,
165,married,basic.6y,entrepreneur,no
166,married,high.school,services,no
167,divorced,,admin.,
168,married,,blue-collar,no
169,divorced,university.degree,management,no
170,married,high.school,blue-collar,
171,married,high.school,services,
172,married,university.degree,technician,no
173,single,university.degree,admin.,
174,married,high.school,services,no
175,married,basic.9y,management,no
176,married,high.school,services,no
177,single,basic.6y,admin.,no
178,married,high.school,services,no
179,married,basic.9y,blue-collar,no
180,married,high.school,technician,no
181,married,basic.6y,blue-collar,
182,married,basic.9y,blue-collar,no
183,married,university.degree,admin.,no
184,married,basic.4y,blue-collar,
185,married,university.degree,management,no
186,married,basic.6y,technician,
187,married,high.school,retired,
188,married,basic.4y,blue-collar,
189,married,university.degree,admin.,no
190,married,professional.course,technician,no
191,single,basic.9y,blue-collar,no
192,divorced,university.degree,management,no
193,married,university.degree,technician,no
194,single,basic.9y,blue-collar,
195,married,basic.4y,blue-collar,no
196,married,high.school,admin.,
197,single,basic.9y,blue-collar,
198,married,basic.9y,admin.,
199,married,basic.6y,blue-collar,no
200,married,high.school,services,no
201,single,basic.6y,services,no
202,married,high.school,blue-collar,no
203,married,,admin.,no
204,married,basic.9y,blue-collar,no
205,single,university.degree,student,
206,single,university.degree,student,
207,married,professional.course,unemployed,no
208,single,basic.4y,services,no
209,single,university.degree,student,
210,single,basic.9y,student,no
211,divorced,university.degree,housemaid,no
212,married,university.degree,admin.,no
213,married,,retired,
214,married,professional.course,blue-collar,
215,married,basic.4y,housemaid,
216,single,,blue-collar,no
217,single,,blue-collar,no
218,married,basic.4y,housemaid,
219,married,high.school,services,no
220,married,high.school,admin.,no
221,married,,technician,
222,single,basic.6y,services,
223,married,basic.4y,technician,
224,married,basic.9y,technician,no
225,married,university.degree,retired,no
226,married,university.degree,technician,no
227,single,university.degree,admin.,no
228,married,basic.4y,retired,
229,married,basic.4y,blue-collar,no
230,married,professional.course,admin.,no
231,divorced,professional.course,services,no
232,divorced,basic.4y,management,
233,married,high.school,admin.,
234,married,university.degree,self-employed,
235,married,professional.course,admin.,no
236,married,basic.4y,blue-collar,no
237,married,high.school,admin.,no
238,married,high.school,services,
239,married,university.degree,management,
240,married,high.school,retired,no
241,single,professional.course,technician,no
242,married,university.degree,management,no
243,single,basic.9y,services,no
244,married,university.degree,technician,
245,divorced,,services,no
246,single,professional.course,technician,no
247,single,high.school,technician,no
248,single,high.school,blue-collar,no
249,single,high.school,services,no
250,divorced,professional.course,technician,no
251,married,basic.4y,blue-collar,no
252,married,basic.6y,services,no
253,married,professional.course,technician,no
254,married,,services,no
255,married,high.school,services,no
256,married,basic.9y,blue-collar,
257,married,basic.9y,management,no
258,married,,technician,no
259,married,high.school,admin.,no
260,married,high.school,admin.,no
261,single,basic.6y,blue-collar,no
262,married,high.school,technician,no
263,divorced,basic.9y,admin.,no
264,married,university.degree,admin.,no
265,single,basic.6y,blue-collar,no
266,single,university.degree,self-employed,no
267,single,university.degree,student,
268,divorced,university.degree,management,no
269,married,basic.4y,self-employed,
270,married,high.school,unemployed,
271,divorced,university.degree,management,no
272,married,basic.9y,housemaid,
273,single,high.school,admin.,no
274,single,high.school,housemaid,
275,married,basic.9y,blue-collar,
276,married,high.school,services,no
277,married,basic.4y,blue-collar,
278,single,basic.9y,technician,no
279,married,professional.course,retired,no
280,married,basic.6y,blue-collar,no
281,married,basic.4y,technician,no
282,married,basic.9y,admin.,no
283,married,basic.9y,blue-collar,no
284,divorced,basic.9y,blue-collar,no
285,divorced,basic.6y,blue-collar,no
286,married,basic.9y,housemaid,no
287,single,high.school,admin.,no
288,married,,blue-collar,
289,married,high.school,services,no
290,divorced,university.degree,management,no
291,married,high.school,admin.,no
292,divorced,professional.course,technician,
293,married,basic.4y,blue-collar,no
294,single,professional.course,technician,no
295,married,professional.course,self-employed,no
296,divorced,high.school,blue-collar,no
297,married,university.degree,admin.,no
298,divorced,high.school,services,no
299,married,,,
300,single,high.school,services,
301,divorced,high.school,blue-collar,
302,married,professional.course,retired,
303,married,,,no
304,married,high.school,admin.,no
305,married,basic.6y,admin.,
306,married,,blue-collar,
307,divorced,basic.4y,housemaid,no
308,married,university.degree,admin.,no
309,married,basic.4y,blue-collar,no
310,divorced,university.degree,management,no
311,single,university.degree,admin.,no
312,married,high.school,admin.,no
313,married,professional.course,blue-collar,
314,married,university.degree,management,
315,single,basic.9y,admin.,
316,divorced,high.school,admin.,no
317,married,basic.6y,retired,no
318,married,basic.9y,blue-collar,no
319,married,high.school,services,no
320,single,basic.9y,management,no
321,single,basic.6y,admin.,no
322,single,,technician,no
323,married,basic.6y,services,
324,married,professional.course,technician,no
325,single,professional.course,housemaid,no
326,single,university.degree,admin.,no
327,married,high.school,admin.,no
328,married,basic.9y,blue-collar,
329,married,high.school,admin.,no
330,single,high.school,services,no
331,married,basic.9y,blue-collar,no
332,married,high.school,management,no
333,single,university.degree,self-employed,no
334,married,high.school,services,
335,married,high.school,entrepreneur,no
336,single,professional.course,technician,
337,single,high.school,blue-collar,no
338,married,basic.9y,blue-collar,
339,married,university.degree,management,
340,married,professional.course,management,
341,single,high.school,services,no
342,married,basic.9y,admin.,no
343,married,,,
344,divorced,basic.4y,blue-collar,no
345,married,high.school,technician,no
346,divorced,professional.course,services,no
347,single,basic.9y,blue-collar,
348,married,university.degree,entrepreneur,no
349,married,basic.4y,blue-collar,no
350,married,basic.6y,blue-collar,
351,married,professional.course,technician,no
352,married,university.degree,management,no
353,married,high.school,services,no
354,married,university.degree,admin.,no
355,single,university.degree,unemployed,no
356,single,high.school,blue-collar,no
357,married,basic.9y,blue-collar,no
358,married,basic.4y,services,no
359,married,basic.4y,entrepreneur,no
360,divorced,high.school,unemployed,
361,married,university.degree,management,no
362,married,high.school,technician,no
363,married,basic.4y,blue-collar,
364,married,university.degree,admin.,no
365,married,university.degree,technician,no
366,married,high.school,self-employed,no
367,divorced,basic.9y,admin.,no
368,married,basic.9y,blue-collar,
369,divorced,high.school,management,no
370,married,basic.9y,blue-collar,no
371,married,basic.9y,blue-collar,no
372,single,high.school,admin.,no
373,single,basic.9y,blue-collar,no
374,married,high.school,services,no
375,married,,blue-collar,no
376,married,basic.6y,technician,no
377,single,university.degree,admin.,no
378,married,basic.9y,admin.,no
379,married,university.degree,admin.,no
380,single,,blue-collar,no
381,married,basic.9y,admin.,no
382,single,university.degree,management,no
383,single,,student,
384,married,basic.4y,management,
385,married,basic.4y,management,
386,married,university.degree,self-employed,no
387,married,basic.6y,housemaid,
388,single,,,
389,married,high.school,services,no
390,,university.degree,retired,
391,married,high.school,management,
392,married,university.degree,admin.,no
393,married,high.school,admin.,no
394,married,basic.9y,admin.,no
395,married,professional.course,technician,no
396,married,high.school,services,
397,divorced,basic.4y,blue-collar,no
398,married,university.degree,self-employed,no
399,married,basic.9y,blue-collar,
400,single,high.school,services,no
401,married,high.school,services,
402,married,high.school,blue-collar,
403,married,university.degree,unemployed,
404,married,basic.4y,blue-collar,
405,married,university.degree,entrepreneur,no
406,divorced,basic.6y,services,no
407,married,high.school,admin.,no
408,married,high.school,services,no
409,married,basic.9y,blue-collar,
410,married,high.school,admin.,no
411,married,basic.4y,technician,no
412,married,basic.9y,blue-collar,no
413,,basic.4y,retired,no
414,married,basic.4y,entrepreneur,
415,married,basic.4y,blue-collar,
416,single,basic.9y,self-employed,
417,married,high.school,admin.,
418,married,high.school,services,no
419,single,university.degree,technician,no
420,married,basic.4y,blue-collar,
421,married,basic.4y,entrepreneur,no
422,married,basic.4y,blue-collar,
423,married,university.degree,management,
424,married,basic.4y,blue-collar,
425,married,basic.9y,blue-collar,no
426,married,basic.6y,management,no
427,married,professional.course,technician,no
428,married,,,
429,married,high.school,services,
430,divorced,university.degree,self-employed,no
431,married,basic.9y,self-employed,
432,single,university.degree,self-employed,no
433,single,professional.course,services,no
434,married,,services,
435,married,professional.course,technician,no
436,married,basic.9y,housemaid,no
437,married,professional.course,blue-collar,no
438,divorced,university.degree,admin.,no
439,married,,management,no
440,married,professional.course,technician,
441,married,university.degree,housemaid,no
442,divorced,basic.9y,blue-collar,
443,married,university.degree,management,no
444,married,basic.9y,admin.,no
445,married,,blue-collar,
446,married,professional.course,technician,no
447,married,basic.4y,technician,
448,married,basic.4y,technician,
449,married,basic.4y,blue-collar,no
450,married,basic.4y,technician,
451,single,basic.9y,student,
452,married,university.degree,management,no
453,married,university.degree,admin.,no
454,married,professional.course,technician,no
455,married,high.school,admin.,no
456,married,professional.course,management,
457,single,basic.4y,unemployed,no
458,married,basic.4y,housemaid,no
459,married,basic.6y,blue-collar,no
460,single,basic.9y,admin.,
461,divorced,high.school,technician,no
462,married,university.degree,self-employed,no
463,single,basic.9y,blue-collar,no
464,married,high.school,services,no
465,married,high.school,admin.,no
466,married,basic.6y,management,
467,married,professional.course,management,
468,married,basic.4y,admin.,no
469,married,university.degree,management,no
470,single,professional.course,technician,
471,married,professional.course,management,no
472,divorced,high.school,admin.,no
473,married,university.degree,admin.,
474,divorced,basic.4y,blue-collar,no
475,married,basic.9y,blue-collar,
476,married,,,
477,married,basic.4y,blue-collar,
478,married,university.degree,retired,no
479,married,,management,
480,single,high.school,technician,
481,married,high.school,services,no
482,married,basic.4y,retired,no
483,married,,,
484,married,basic.6y,management,
485,married,university.degree,admin.,no
486,single,university.degree,admin.,
487,married,professional.course,technician,no
488,married,professional.course,housemaid,
489,married,,technician,no
490,married,university.degree,technician,no
491,married,basic.9y,unemployed,
492,married,basic.9y,services,no
493,married,basic.9y,blue-collar,
494,single,university.degree,admin.,
495,married,high.school,services,
496,married,professional.course,technician,no
497,divorced,university.degree,admin.,
498,married,professional.course,admin.,no
499,married,basic.6y,admin.,
500,married,university.degree,entrepreneur,
501,married,basic.9y,admin.,no
502,married,basic.9y,admin.,no
503,divorced,high.school,services,
504,married,high.school,services,
505,married,university.degree,entrepreneur,no
506,single,university.degree,technician,no
507,single,,,
508,married,university.degree,technician,no
509,married,high.school,blue-collar,
510,married,basic.4y,blue-collar,no
511,married,high.school,entrepreneur,no
512,married,university.degree,management,no
513,married,basic.9y,services,no
514,married,high.school,entrepreneur,no
515,married,,technician,
516,single,basic.4y,housemaid,
517,married,basic.4y,blue-collar,no
518,married,,blue-collar,
519,married,,admin.,no
520,married,basic.9y,management,
521,married,basic.9y,blue-collar,no
522,married,basic.6y,blue-collar,no
523,married,basic.6y,blue-collar,no
524,married,high.school,admin.,no
525,single,,admin.,
526,single,high.school,services,no
527,divorced,high.school,admin.,no
528,divorced,university.degree,technician,no
529,married,high.school,admin.,no
530,married,high.school,admin.,no
531,married,high.school,services,
532,married,basic.6y,blue-collar,no
533,married,basic.9y,blue-collar,no
534,married,high.school,technician,no
535,married,high.school,services,
536,single,high.school,admin.,no
537,single,basic.4y,blue-collar,
538,single,basic.6y,admin.,
539,married,university.degree,self-employed,no
540,married,,self-employed,
541,single,basic.9y,blue-collar,
542,married,professional.course,technician,
543,single,university.degree,entrepreneur,no
544,single,high.school,self-employed,no
545,married,professional.course,admin.,no
546,married,university.degree,admin.,no
547,divorced,high.school,admin.,no
548,single,university.degree,admin.,no
549,married,basic.4y,blue-collar,
550,single,university.degree,admin.,no
551,married,basic.9y,blue-collar,
552,married,basic.6y,entrepreneur,no
553,married,university.degree,retired,no
554,married,basic.4y,blue-collar,
555,married,basic.4y,technician,no
556,married,high.school,blue-collar,no
557,married,basic.4y,technician,no
558,single,basic.4y,blue-collar,
559,married,basic.6y,blue-collar,
560,married,basic.4y,blue-collar,no
561,married,basic.6y,blue-collar,
562,married,basic.4y,blue-collar,no
563,married,university.degree,admin.,
564,divorced,university.degree,admin.,no
565,married,basic.6y,admin.,no
566,married,high.school,blue-collar,
567,married,,technician,no
568,single,university.degree,admin.,no
569,married,university.degree,unemployed,
570,married,professional.course,entrepreneur,no
571,married,professional.course,technician,no
572,married,basic.9y,blue-collar,
573,married,basic.4y,retired,
574,married,high.school,housemaid,no
575,married,high.school,admin.,no
576,divorced,high.school,admin.,no
577,married,high.school,services,
578,married,university.degree,management,no
579,married,,blue-collar,no
580,married,university.degree,management,
581,married,basic.4y,blue-collar,no
582,married,,,
583,single,professional.course,technician,no
584,married,,,
585,single,university.degree,admin.,no
586,married,university.degree,management,
587,married,basic.4y,blue-collar,no
588,married,basic.4y,blue-collar,
589,married,basic.6y,blue-collar,
590,married,professional.course,technician,no
591,married,professional.course,technician,no
592,married,university.degree,admin.,no
593,single,high.school,services,no
594,married,university.degree,management,no
595,married,professional.course,technician,no
596,married,basic.9y,technician,no
597,married,professional.course,admin.,no
598,divorced,university.degree,admin.,
599,married,high.school,services,no
600,single,university.degree,admin.,no
601,married,basic.9y,blue-collar,no
602,married,basic.9y,blue-collar,no
603,married,high.school,services,
604,single,university.degree,admin.,no
605,single,university.degree,admin.,no
606,married,high.school,services,no
607,married,basic.4y,blue-collar,
608,married,basic.9y,blue-collar,
609,married,high.school,services,no
610,married,basic.6y,blue-collar,no
611,married,high.school,admin.,no
612,single,basic.4y,blue-collar,no
613,married,university.degree,management,no
614,married,university.degree,admin.,no
615,married,basic.6y,technician,no
616,married,high.school,services,
617,married,basic.4y,blue-collar,no
618,married,professional.course,technician,no
619,married,basic.9y,admin.,no
620,divorced,university.degree,admin.,no
621,married,professional.course,technician,no
622,married,professional.course,technician,no
623,married,high.school,services,
624,single,,blue-collar,no
625,married,basic.9y,blue-collar,no
626,married,professional.course,technician,no
627,single,basic.4y,services,no
628,married,,admin.,
629,married,professional.course,technician,no
630,married,university.degree,technician,no
631,single,university.degree,admin.,no
632,married,basic.6y,services,no
633,single,basic.4y,management,no
634,married,university.degree,management,
635,single,professional.course,technician,no
636,married,university.degree,admin.,no
637,single,university.degree,admin.,no
638,married,,technician,
639,divorced,university.degree,management,no
640,married,basic.4y,housemaid,
641,married,high.school,admin.,no
642,married,basic.4y,blue-collar,no
643,married,high.school,retired,
644,single,professional.course,technician,no
645,single,university.degree,management,no
646,divorced,university.degree,housemaid,no
647,married,high.school,blue-collar,no
648,married,basic.9y,technician,
649,married,high.school,blue-collar,no
650,married,high.school,housemaid,no
651,married,high.school,housemaid,no
652,married,basic.4y,blue-collar,
653,married,basic.9y,blue-collar,no
654,divorced,,blue-collar,
655,married,high.school,services,no
656,married,basic.4y,services,no
657,married,university.degree,management,
658,divorced,university.degree,management,
659,single,university.degree,self-employed,no
660,divorced,basic.4y,retired,
661,single,,admin.,no
662,married,high.school,services,no
663,married,university.degree,admin.,no
664,married,basic.6y,blue-collar,
665,married,basic.9y,technician,no
666,divorced,university.degree,admin.,no
667,single,university.degree,admin.,no
668,married,basic.9y,blue-collar,no
669,married,high.school,admin.,no
670,married,university.degree,management,
671,single,high.school,services,
672,married,high.school,admin.,no
673,married,high.school,admin.,no
674,married,high.school,services,no
675,married,professional.course,admin.,no
676,single,high.school,admin.,
677,married,university.degree,management,no
678,married,professional.course,entrepreneur,no
679,divorced,university.degree,management,
680,married,basic.4y,technician,
681,married,professional.course,housemaid,
682,married,university.degree,self-employed,no
683,married,professional.course,management,
684,married,high.school,services,no
685,married,basic.9y,blue-collar,no
686,married,basic.4y,housemaid,
687,single,high.school,admin.,no
688,married,professional.course,technician,
689,married,university.degree,management,no
690,divorced,university.degree,admin.,no
691,single,university.degree,management,no
692,married,high.school,retired,no
693,married,basic.4y,blue-collar,
694,married,university.degree,admin.,
695,married,high.school,services,
696,married,basic.4y,blue-collar,
697,married,basic.4y,housemaid,no
698,married,basic.9y,entrepreneur,no
699,married,university.degree,admin.,
700,married,basic.9y,self-employed,no
701,married,basic.6y,housemaid,
702,divorced,basic.9y,self-employed,no
703,married,university.degree,self-employed,no
704,single,basic.9y,unemployed,no
705,married,university.degree,admin.,no
706,married,university.degree,admin.,no
707,married,basic.4y,blue-collar,
708,married,high.school,admin.,
709,divorced,university.degree,retired,
710,married,basic.9y,blue-collar,no
711,married,university.degree,management,
712,single,university.degree,student,
713,married,university.degree,admin.,no
714,married,high.school,services,no
715,married,basic.9y,technician,no
716,married,university.degree,technician,no
717,married,high.school,retired,no
718,married,basic.6y,services,no
719,married,basic.4y,blue-collar,no
720,married,university.degree,admin.,no
721,married,basic.4y,blue-collar,no
722,married,basic.4y,entrepreneur,no
723,married,basic.4y,blue-collar,no
724,married,high.school,services,no
725,married,basic.9y,technician,no
726,married,high.school,admin.,no
727,married,university.degree,entrepreneur,no
728,married,basic.9y,blue-collar,
729,single,professional.course,technician,no
730,single,,admin.,
731,married,professional.course,blue-collar,
732,single,high.school,admin.,no
733,single,basic.4y,self-employed,
734,single,university.degree,technician,
735,married,basic.4y,blue-collar,
736,married,basic.4y,retired,no
737,married,high.school,admin.,no
738,divorced,university.degree,unemployed,no
739,married,,blue-collar,
740,divorced,high.school,admin.,no
741,married,basic.4y,housemaid,no
742,married,basic.4y,management,
743,single,professional.course,technician,no
744,married,basic.9y,blue-collar,no
745,divorced,basic.6y,blue-collar,
746,married,basic.4y,unemployed,
747,married,high.school,services,no
748,single,university.degree,admin.,no
749,single,professional.course,technician,no
750,divorced,basic.9y,services,no
751,married,basic.4y,blue-collar,no
752,married,professional.course,blue-collar,no
753,married,university.degree,admin.,no
754,married,high.school,services,no
755,married,basic.9y,blue-collar,
756,married,university.degree,services,no
757,married,basic.4y,blue-collar,
758,married,basic.9y,blue-collar,
759,married,professional.course,blue-collar,
760,married,basic.4y,blue-collar,no
761,married,basic.4y,unemployed,no
762,married,high.school,services,no
763,married,university.degree,technician,
764,married,professional.course,technician,no
765,married,university.degree,technician,no
766,married,university.degree,admin.,no
767,married,university.degree,self-employed,
768,married,,technician,
769,single,high.school,student,
770,married,basic.4y,blue-collar,
771,divorced,,housemaid,no
772,married,,management,
773,married,professional.course,technician,no
774,married,basic.9y,housemaid,no
775,married,basic.4y,blue-collar,no
776,single,,blue-collar,
777,married,basic.9y,blue-collar,no
778,married,high.school,admin.,no
779,married,high.school,services,
780,married,basic.6y,technician,no
781,married,high.school,services,
782,divorced,professional.course,technician,no
783,married,basic.6y,blue-collar,no
784,single,basic.6y,blue-collar,no
785,married,university.degree,self-employed,no
786,married,basic.9y,blue-collar,no
787,married,basic.4y,admin.,
788,married,professional.course,technician,no
789,single,basic.9y,blue-collar,
790,single,basic.9y,blue-collar,
791,single,university.degree,management,
792,married,high.school,management,no
793,married,basic.9y,entrepreneur,no
794,single,basic.9y,,
795,single,,services,no
796,single,high.school,blue-collar,no
797,divorced,,blue-collar,no
798,married,basic.9y,blue-collar,no
799,divorced,basic.6y,blue-collar,
800,single,basic.4y,blue-collar,
801,divorced,high.school,services,no
802,single,professional.course,entrepreneur,no
803,divorced,university.degree,admin.,no
804,married,high.school,admin.,no
805,married,basic.6y,technician,no
806,single,,services,no
807,married,university.degree,entrepreneur,
808,single,high.school,admin.,no
809,single,university.degree,admin.,no
810,single,high.school,self-employed,
811,married,high.school,services,no
812,married,high.school,blue-collar,no
813,married,university.degree,admin.,no
814,single,high.school,blue-collar,
815,divorced,basic.9y,blue-collar,no
816,single,,technician,
817,married,basic.4y,housemaid,no
818,married,high.school,management,
819,single,basic.9y,admin.,no
820,single,university.degree,admin.,no
821,married,university.degree,admin.,
822,married,basic.6y,blue-collar,no
823,single,university.degree,management,no
824,divorced,high.school,management,no
825,married,professional.course,technician,no
826,divorced,professional.course,technician,no
827,married,university.degree,services,no
828,married,basic.9y,blue-collar,
829,married,university.degree,technician,no
830,married,basic.9y,entrepreneur,no
831,married,high.school,admin.,no
832,single,basic.9y,student,
833,married,high.school,technician,no
834,married,basic.9y,blue-collar,
835,married,basic.9y,blue-collar,
836,married,high.school,admin.,
837,married,basic.9y,blue-collar,
838,married,professional.course,technician,no
839,single,university.degree,admin.,no
840,single,,admin.,no
841,married,professional.course,technician,no
842,married,basic.9y,entrepreneur,no
843,single,university.degree,admin.,
844,divorced,high.school,admin.,
845,married,basic.9y,blue-collar,
846,single,high.school,services,no
847,single,high.school,admin.,no
848,married,professional.course,technician,no
849,divorced,university.degree,management,no
850,married,basic.4y,blue-collar,
851,married,basic.6y,blue-collar,
852,married,basic.6y,services,no
853,married,basic.6y,blue-collar,
854,married,basic.4y,housemaid,
855,married,university.degree,admin.,no
856,married,university.degree,entrepreneur,no
857,married,professional.course,blue-collar,
858,married,basic.6y,blue-collar,no
859,single,,blue-collar,no
860,married,university.degree,management,no
861,married,basic.6y,blue-collar,no
862,married,professional.course,technician,
863,single,university.degree,admin.,no
864,married,,blue-collar,no
865,married,high.school,blue-collar,no
866,married,professional.course,technician,no
867,married,professional.course,technician,no
868,single,,admin.,
869,divorced,university.degree,admin.,no
870,single,basic.9y,blue-collar,
871,married,high.school,blue-collar,no
872,married,high.school,blue-collar,no
873,divorced,high.school,entrepreneur,
874,single,university.degree,technician,no
875,married,basic.6y,blue-collar,no
876,married,basic.4y,blue-collar,no
877,married,university.degree,admin.,no
878,single,basic.9y,,
879,married,high.school,services,
880,single,high.school,admin.,no
881,married,basic.9y,blue-collar,no
882,single,university.degree,technician,no
883,married,basic.4y,retired,
884,divorced,,blue-collar,no
885,married,high.school,,
886,married,professional.course,technician,no
887,married,university.degree,admin.,no
888,married,professional.course,technician,no
889,single,university.degree,admin.,no
890,single,,services,
891,married,basic.6y,blue-collar,no
892,married,basic.9y,blue-collar,no
893,single,high.school,retired,no
894,single,professional.course,technician,no
895,married,high.school,admin.,no
896,married,basic.9y,blue-collar,no
897,married,basic.6y,blue-collar,no
898,married,basic.6y,management,no
899,married,professional.course,technician,no
900,divorced,professional.course,technician,no
901,married,basic.4y,technician,
902,married,basic.6y,blue-collar,
903,divorced,university.degree,management,no
904,married,basic.4y,technician,
905,single,professional.course,technician,no
906,single,basic.9y,blue-collar,no
907,divorced,basic.9y,admin.,
908,divorced,high.school,services,no
909,married,,blue-collar,
910,divorced,basic.6y,blue-collar,
911,married,basic.4y,blue-collar,no
912,married,professional.course,admin.,no
913,single,high.school,admin.,no
914,married,basic.9y,blue-collar,no
915,married,high.school,services,
916,married,basic.4y,blue-collar,no
917,married,basic.9y,retired,no
918,married,basic.6y,blue-collar,
919,single,high.school,services,no
920,divorced,basic.4y,retired,no
921,married,basic.9y,entrepreneur,
922,married,basic.9y,blue-collar,
923,single,basic.6y,blue-collar,no
924,married,university.degree,admin.,no
925,single,university.degree,technician,no
926,married,high.school,technician,no
927,married,basic.9y,blue-collar,no
928,married,basic.9y,blue-collar,no
929,married,high.school,services,
930,married,basic.4y,retired,
931,single,high.school,admin.,no
932,married,basic.6y,blue-collar,
933,married,high.school,admin.,no
934,married,basic.9y,blue-collar,no
935,married,high.school,management,
936,married,basic.9y,admin.,
937,divorced,university.degree,management,no
938,single,university.degree,admin.,
939,married,professional.course,technician,
940,single,university.degree,technician,
941,married,basic.9y,blue-collar,
942,divorced,high.school,services,
943,married,basic.4y,blue-collar,
944,divorced,high.school,services,
945,married,university.degree,admin.,
946,married,basic.9y,blue-collar,no
947,married,basic.4y,blue-collar,
948,married,high.school,technician,no
949,single,basic.6y,blue-collar,no
950,divorced,high.school,services,no
951,divorced,,technician,no
