ID,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,subscribed
24375,-0.1,93.2,-42.0,4.191,no
24379,-0.1,93.2,-42.0,4.191,yes
24382,-0.1,93.2,-42.0,4.191,no
24385,-0.1,93.2,-42.0,4.191,no
24386,-0.1,93.2,-42.0,4.191,no
24388,-0.1,93.2,-42.0,4.191,no
24392,-0.1,93.2,-42.0,4.191,no
24397,-0.1,93.2,-42.0,4.191,no
24399,-0.1,93.2,-42.0,4.191,no
24411,-0.1,93.2,-42.0,4.191,no
24415,-0.1,93.2,-42.0,4.191,no
24417,-0.1,93.2,-42.0,4.191,no
24430,-0.1,93.2,-42.0,4.191,no
24433,-0.1,93.2,-42.0,4.191,no
24439,-0.1,93.2,-42.0,4.191,no
24444,-0.1,93.2,-42.0,4.191,no
24445,-0.1,93.2,-42.0,4.191,no
24446,-0.1,93.2,-42.0,4.191,no
24455,-0.1,93.2,-42.0,4.191,no
24457,-0.1,93.2,-42.0,4.191,no
24459,-0.1,93.2,-42.0,4.191,no
24463,-0.1,93.2,-42.0,4.191,no
24464,-0.1,93.2,-42.0,4.191,no
24467,-0.1,93.2,-42.0,4.191,no
24470,-0.1,93.2,-42.0,4.191,no
24482,-0.1,93.2,-42.0,4.191,no
24487,-0.1,93.2,-42.0,4.191,no
24491,-0.1,93.2,-42.0,4.191,no
24504,-0.1,93.2,-42.0,4.191,no
24506,-0.1,93.2,-42.0,4.191,no
24518,-0.1,93.2,-42.0,4.191,no
24519,-0.1,93.2,-42.0,4.191,no
24525,-0.1,93.2,-42.0,4.191,no
24529,-0.1,93.2,-42.0,4.191,no
24531,-0.1,93.2,-42.0,4.191,no
24541,-0.1,93.2,-42.0,4.191,no
24542,-0.1,93.2,-42.0,4.191,no
24551,-0.1,93.2,-42.0,4.191,no
24553,-0.1,93.2,-42.0,4.191,no
24555,-0.1,93.2,-42.0,4.191,no
24557,-0.1,93.2,-42.0,4.191,no
24563,-0.1,93.2,-42.0,4.191,no
24567,-0.1,93.2,-42.0,4.191,no
24571,-0.1,93.2,-42.0,4.191,no
24574,-0.1,93.2,-42.0,4.191,no
24578,-0.1,93.2,-42.0,4.191,no
24579,-0.1,93.2,-42.0,4.191,no
24580,-0.1,93.2,-42.0,4.191,no
24595,-0.1,93.2,-42.0,4.191,no
24600,-0.1,93.2,-42.0,4.191,no
24602,-0.1,93.2,-42.0,4.191,no
24603,-0.1,93.2,-42.0,4.191,no
24606,-0.1,93.2,-42.0,4.191,no
24609,-0.1,93.2,-42.0,4.191,no
24613,-0.1,93.2,-42.0,4.191,yes
24614,-0.1,93.2,-42.0,4.191,no
24617,-0.1,93.2,-42.0,4.191,no
24623,-0.1,93.2,-42.0,4.191,no
24624,-0.1,93.2,-42.0,4.191,no
24625,-0.1,93.2,-42.0,4.191,no
24627,-0.1,93.2,-42.0,4.191,no
24628,-0.1,93.2,-42.0,4.191,no
24630,-0.1,93.2,-42.0,4.191,no
24632,-0.1,93.2,-42.0,4.191,no
24642,-0.1,93.2,-42.0,4.191,no
24643,-0.1,93.2,-42.0,4.191,no
24656,-0.1,93.2,-42.0,4.191,no
24662,-0.1,93.2,-42.0,4.191,no
24668,-0.1,93.2,-42.0,4.191,no
24670,-0.1,93.2,-42.0,4.191,no
24673,-0.1,93.2,-42.0,4.191,no
24679,-0.1,93.2,-42.0,4.191,no
24682,-0.1,93.2,-42.0,4.191,no
24690,-0.1,93.2,-42.0,4.191,no
24694,-0.1,93.2,-42.0,4.191,yes
24695,-0.1,93.2,-42.0,4.191,no
24696,-0.1,93.2,-42.0,4.191,no
24698,-0.1,93.2,-42.0,4.191,no
24699,-0.1,93.2,-42.0,4.191,no
24705,-0.1,93.2,-42.0,4.191,yes
24712,-0.1,93.2,-42.0,4.191,no
24715,-0.1,93.2,-42.0,4.191,no
24717,-0.1,93.2,-42.0,4.191,no
24720,-0.1,93.2,-42.0,4.191,no
24728,-0.1,93.2,-42.0,4.191,no
24730,-0.1,93.2,-42.0,4.191,no
24736,-0.1,93.2,-42.0,4.1530000000000005,no
24738,-0.1,93.2,-42.0,4.1530000000000005,no
24740,-0.1,93.2,-42.0,4.1530000000000005,no
24755,-0.1,93.2,-42.0,4.1530000000000005,no
24760,-0.1,93.2,-42.0,4.1530000000000005,no
24761,-0.1,93.2,-42.0,4.1530000000000005,no
24762,-0.1,93.2,-42.0,4.1530000000000005,no
24767,-0.1,93.2,-42.0,4.1530000000000005,no
24770,-0.1,93.2,-42.0,4.1530000000000005,no
24782,-0.1,93.2,-42.0,4.1530000000000005,no
24787,-0.1,93.2,-42.0,4.1530000000000005,no
24788,-0.1,93.2,-42.0,4.1530000000000005,yes
24789,-0.1,93.2,-42.0,4.1530000000000005,no
24795,-0.1,93.2,-42.0,4.1530000000000005,no
24799,-0.1,93.2,-42.0,4.1530000000000005,no
24801,-0.1,93.2,-42.0,4.1530000000000005,no
24810,-0.1,93.2,-42.0,4.1530000000000005,no
24819,-0.1,93.2,-42.0,4.1530000000000005,no
24827,-0.1,93.2,-42.0,4.1530000000000005,no
24845,-0.1,93.2,-42.0,4.1530000000000005,no
24846,-0.1,93.2,-42.0,4.1530000000000005,no
24850,-0.1,93.2,-42.0,4.1530000000000005,no
24853,-0.1,93.2,-42.0,4.1530000000000005,no
24858,-0.1,93.2,-42.0,4.1530000000000005,no
24861,-0.1,93.2,-42.0,4.1530000000000005,no
24866,-0.1,93.2,-42.0,4.1530000000000005,no
24869,-0.1,93.2,-42.0,4.1530000000000005,no
24873,-0.1,93.2,-42.0,4.1530000000000005,no
24875,-0.1,93.2,-42.0,4.1530000000000005,no
24876,-0.1,93.2,-42.0,4.1530000000000005,no
24878,-0.1,93.2,-42.0,4.1530000000000005,no
24889,-0.1,93.2,-42.0,4.1530000000000005,no
24898,-0.1,93.2,-42.0,4.1530000000000005,no
24901,-0.1,93.2,-42.0,4.1530000000000005,no
24905,-0.1,93.2,-42.0,4.1530000000000005,no
24906,-0.1,93.2,-42.0,4.1530000000000005,no
24908,-0.1,93.2,-42.0,4.1530000000000005,no
24910,-0.1,93.2,-42.0,4.1530000000000005,no
24916,-0.1,93.2,-42.0,4.1530000000000005,no
24917,-0.1,93.2,-42.0,4.1530000000000005,no
24921,-0.1,93.2,-42.0,4.1530000000000005,no
24923,-0.1,93.2,-42.0,4.1530000000000005,no
24929,-0.1,93.2,-42.0,4.1530000000000005,no
24933,-0.1,93.2,-42.0,4.1530000000000005,no
24934,-0.1,93.2,-42.0,4.1530000000000005,no
24940,-0.1,93.2,-42.0,4.1530000000000005,no
24943,-0.1,93.2,-42.0,4.1530000000000005,no
24949,-0.1,93.2,-42.0,4.1530000000000005,no
24954,-0.1,93.2,-42.0,4.1530000000000005,no
24956,-0.1,93.2,-42.0,4.1530000000000005,no
24962,-0.1,93.2,-42.0,4.1530000000000005,no
24965,-0.1,93.2,-42.0,4.1530000000000005,no
24968,-0.1,93.2,-42.0,4.1530000000000005,no
24976,-0.1,93.2,-42.0,4.1530000000000005,no
24981,-0.1,93.2,-42.0,4.1530000000000005,no
24984,-0.1,93.2,-42.0,4.1530000000000005,yes
24988,-0.1,93.2,-42.0,4.1530000000000005,no
24989,-0.1,93.2,-42.0,4.1530000000000005,no
24990,-0.1,93.2,-42.0,4.1530000000000005,no
24997,-0.1,93.2,-42.0,4.1530000000000005,no
25001,-0.1,93.2,-42.0,4.1530000000000005,no
25003,-0.1,93.2,-42.0,4.1530000000000005,no
25004,-0.1,93.2,-42.0,4.1530000000000005,no
25009,-0.1,93.2,-42.0,4.1530000000000005,no
25010,-0.1,93.2,-42.0,4.1530000000000005,no
25017,-0.1,93.2,-42.0,4.1530000000000005,no
25018,-0.1,93.2,-42.0,4.1530000000000005,no
25027,-0.1,93.2,-42.0,4.1530000000000005,no
25028,-0.1,93.2,-42.0,4.1530000000000005,no
25035,-0.1,93.2,-42.0,4.1530000000000005,no
25040,-0.1,93.2,-42.0,4.1530000000000005,no
25048,-0.1,93.2,-42.0,4.1530000000000005,no
25049,-0.1,93.2,-42.0,4.1530000000000005,no
25053,-0.1,93.2,-42.0,4.1530000000000005,no
25061,-0.1,93.2,-42.0,4.1530000000000005,no
25069,-0.1,93.2,-42.0,4.1530000000000005,no
25070,-0.1,93.2,-42.0,4.1530000000000005,no
25073,-0.1,93.2,-42.0,4.1530000000000005,no
25075,-0.1,93.2,-42.0,4.1530000000000005,no
25076,-0.1,93.2,-42.0,4.1530000000000005,no
25079,-0.1,93.2,-42.0,4.1530000000000005,no
25086,-0.1,93.2,-42.0,4.1530000000000005,no
25095,-0.1,93.2,-42.0,4.1530000000000005,no
25096,-0.1,93.2,-42.0,4.1530000000000005,no
25115,-0.1,93.2,-42.0,4.1530000000000005,no
25120,-0.1,93.2,-42.0,4.1530000000000005,no
25124,-0.1,93.2,-42.0,4.1530000000000005,no
25128,-0.1,93.2,-42.0,4.1530000000000005,no
25130,-0.1,93.2,-42.0,4.1530000000000005,no
25132,-0.1,93.2,-42.0,4.1530000000000005,no
25134,-0.1,93.2,-42.0,4.1530000000000005,no
25144,-0.1,93.2,-42.0,4.1530000000000005,no
25148,-0.1,93.2,-42.0,4.1530000000000005,no
25149,-0.1,93.2,-42.0,4.1530000000000005,no
25153,-0.1,93.2,-42.0,4.1530000000000005,no
25156,-0.1,93.2,-42.0,4.1530000000000005,no
25157,-0.1,93.2,-42.0,4.1530000000000005,no
25162,-0.1,93.2,-42.0,4.1530000000000005,no
25164,-0.1,93.2,-42.0,4.1530000000000005,no
25166,-0.1,93.2,-42.0,4.1530000000000005,no
25168,-0.1,93.2,-42.0,4.1530000000000005,no
25174,-0.1,93.2,-42.0,4.1530000000000005,no
25185,-0.1,93.2,-42.0,4.1530000000000005,no
25190,-0.1,93.2,-42.0,4.1530000000000005,no
25193,-0.1,93.2,-42.0,4.1530000000000005,no
25197,-0.1,93.2,-42.0,4.1530000000000005,no
25211,-0.1,93.2,-42.0,4.1530000000000005,no
25212,-0.1,93.2,-42.0,4.1530000000000005,no
25216,-0.1,93.2,-42.0,4.1530000000000005,no
25219,-0.1,93.2,-42.0,4.1530000000000005,no
25221,-0.1,93.2,-42.0,4.1530000000000005,no
25227,-0.1,93.2,-42.0,4.1530000000000005,no
25228,-0.1,93.2,-42.0,4.1530000000000005,no
25234,-0.1,93.2,-42.0,4.1530000000000005,no
25238,-0.1,93.2,-42.0,4.1530000000000005,no
25242,-0.1,93.2,-42.0,4.1530000000000005,no
25245,-0.1,93.2,-42.0,4.1530000000000005,no
25264,-0.1,93.2,-42.0,4.1530000000000005,no
25269,-0.1,93.2,-42.0,4.1530000000000005,no
25271,-0.1,93.2,-42.0,4.1530000000000005,no
25274,-0.1,93.2,-42.0,4.1530000000000005,no
25276,-0.1,93.2,-42.0,4.1530000000000005,no
25277,-0.1,93.2,-42.0,4.1530000000000005,no
25280,-0.1,93.2,-42.0,4.1530000000000005,no
25281,-0.1,93.2,-42.0,4.1530000000000005,no
25285,-0.1,93.2,-42.0,4.1530000000000005,no
25287,-0.1,93.2,-42.0,4.1530000000000005,no
25288,-0.1,93.2,-42.0,4.1530000000000005,no
25292,-0.1,93.2,-42.0,4.1530000000000005,no
25293,-0.1,93.2,-42.0,4.1530000000000005,no
25299,-0.1,93.2,-42.0,4.1530000000000005,no
25305,-0.1,93.2,-42.0,4.1530000000000005,no
25322,-0.1,93.2,-42.0,4.1530000000000005,no
25333,-0.1,93.2,-42.0,4.1530000000000005,no
25336,-0.1,93.2,-42.0,4.1530000000000005,no
25338,-0.1,93.2,-42.0,4.1530000000000005,no
25341,-0.1,93.2,-42.0,4.1530000000000005,no
25342,-0.1,93.2,-42.0,4.1530000000000005,no
25344,-0.1,93.2,-42.0,4.1530000000000005,no
25350,-0.1,93.2,-42.0,4.1530000000000005,no
25359,-0.1,93.2,-42.0,4.1530000000000005,no
25362,-0.1,93.2,-42.0,4.1530000000000005,no
25363,-0.1,93.2,-42.0,4.1530000000000005,no
25364,-0.1,93.2,-42.0,4.1530000000000005,no
25365,-0.1,93.2,-42.0,4.1530000000000005,no
25369,-0.1,93.2,-42.0,4.1530000000000005,yes
25370,-0.1,93.2,-42.0,4.1530000000000005,no
25374,-0.1,93.2,-42.0,4.1530000000000005,no
25375,-0.1,93.2,-42.0,4.1530000000000005,no
25379,-0.1,93.2,-42.0,4.1530000000000005,no
25383,-0.1,93.2,-42.0,4.1530000000000005,no
25387,-0.1,93.2,-42.0,4.1530000000000005,no
25388,-0.1,93.2,-42.0,4.1530000000000005,no
25389,-0.1,93.2,-42.0,4.1530000000000005,no
25392,-0.1,93.2,-42.0,4.1530000000000005,no
25393,-0.1,93.2,-42.0,4.1530000000000005,no
25397,-0.1,93.2,-42.0,4.1530000000000005,no
25398,-0.1,93.2,-42.0,4.1530000000000005,no
25400,-0.1,93.2,-42.0,4.1530000000000005,no
25401,-0.1,93.2,-42.0,4.1530000000000005,no
25420,-0.1,93.2,-42.0,4.1530000000000005,yes
25421,-0.1,93.2,-42.0,4.1530000000000005,no
25430,-0.1,93.2,-42.0,4.12,no
25436,-0.1,93.2,-42.0,4.12,no
25440,-0.1,93.2,-42.0,4.12,no
25442,-0.1,93.2,-42.0,4.12,no
25446,-0.1,93.2,-42.0,4.12,no
25454,-0.1,93.2,-42.0,4.12,no
25455,-0.1,93.2,-42.0,4.12,no
25461,-0.1,93.2,-42.0,4.12,no
25462,-0.1,93.2,-42.0,4.12,no
25463,-0.1,93.2,-42.0,4.12,no
25464,-0.1,93.2,-42.0,4.12,no
25466,-0.1,93.2,-42.0,4.12,no
25468,-0.1,93.2,-42.0,4.12,no
25474,-0.1,93.2,-42.0,4.12,no
25475,-0.1,93.2,-42.0,4.12,no
25477,-0.1,93.2,-42.0,4.12,no
25481,-0.1,93.2,-42.0,4.12,no
25484,-0.1,93.2,-42.0,4.12,no
25497,-0.1,93.2,-42.0,4.12,no
25499,-0.1,93.2,-42.0,4.12,no
25503,-0.1,93.2,-42.0,4.12,no
25504,-0.1,93.2,-42.0,4.12,no
25506,-0.1,93.2,-42.0,4.12,no
25507,-0.1,93.2,-42.0,4.12,no
25510,-0.1,93.2,-42.0,4.12,no
25518,-0.1,93.2,-42.0,4.12,no
25519,-0.1,93.2,-42.0,4.12,yes
25534,-0.1,93.2,-42.0,4.12,no
25537,-0.1,93.2,-42.0,4.12,no
25542,-0.1,93.2,-42.0,4.12,no
25545,-0.1,93.2,-42.0,4.12,no
25546,-0.1,93.2,-42.0,4.12,no
25554,-0.1,93.2,-42.0,4.12,no
25555,-0.1,93.2,-42.0,4.12,no
25561,-0.1,93.2,-42.0,4.12,no
25577,-0.1,93.2,-42.0,4.12,no
25581,-0.1,93.2,-42.0,4.12,no
25592,-0.1,93.2,-42.0,4.12,no
25598,-0.1,93.2,-42.0,4.12,no
25600,-0.1,93.2,-42.0,4.12,no
25604,-0.1,93.2,-42.0,4.12,yes
25607,-0.1,93.2,-42.0,4.12,no
25612,-0.1,93.2,-42.0,4.12,no
25614,-0.1,93.2,-42.0,4.12,no
25623,-0.1,93.2,-42.0,4.12,no
25634,-0.1,93.2,-42.0,4.12,no
25641,-0.1,93.2,-42.0,4.12,no
25658,-0.1,93.2,-42.0,4.12,no
25659,-0.1,93.2,-42.0,4.12,no
25661,-0.1,93.2,-42.0,4.12,no
25667,-0.1,93.2,-42.0,4.12,no
25676,-0.1,93.2,-42.0,4.12,no
25684,-0.1,93.2,-42.0,4.12,no
25685,-0.1,93.2,-42.0,4.12,no
25692,-0.1,93.2,-42.0,4.12,yes
25693,-0.1,93.2,-42.0,4.12,no
25703,-0.1,93.2,-42.0,4.12,no
25705,-0.1,93.2,-42.0,4.12,no
25708,-0.1,93.2,-42.0,4.12,no
25720,-0.1,93.2,-42.0,4.12,no
25722,-0.1,93.2,-42.0,4.12,no
25728,-0.1,93.2,-42.0,4.12,no
25734,-0.1,93.2,-42.0,4.12,no
25739,-0.1,93.2,-42.0,4.12,no
25742,-0.1,93.2,-42.0,4.12,no
25745,-0.1,93.2,-42.0,4.12,no
25747,-0.1,93.2,-42.0,4.12,no
25749,-0.1,93.2,-42.0,4.12,no
25755,-0.1,93.2,-42.0,4.12,no
25756,-0.1,93.2,-42.0,4.12,no
25762,-0.1,93.2,-42.0,4.12,no
25764,-0.1,93.2,-42.0,4.12,no
25766,-0.1,93.2,-42.0,4.12,no
25771,-0.1,93.2,-42.0,4.12,no
25775,-0.1,93.2,-42.0,4.12,no
25779,-0.1,93.2,-42.0,4.12,no
25781,-0.1,93.2,-42.0,4.12,no
25783,-0.1,93.2,-42.0,4.12,no
25786,-0.1,93.2,-42.0,4.12,no
25788,-0.1,93.2,-42.0,4.12,no
25803,-0.1,93.2,-42.0,4.12,no
25814,-0.1,93.2,-42.0,4.12,no
25817,-0.1,93.2,-42.0,4.12,no
25821,-0.1,93.2,-42.0,4.12,no
25823,-0.1,93.2,-42.0,4.12,no
25825,-0.1,93.2,-42.0,4.12,no
25831,-0.1,93.2,-42.0,4.12,no
25836,-0.1,93.2,-42.0,4.12,no
25843,-0.1,93.2,-42.0,4.12,no
25846,-0.1,93.2,-42.0,4.12,no
25849,-0.1,93.2,-42.0,4.12,no
25850,-0.1,93.2,-42.0,4.12,no
25853,-0.1,93.2,-42.0,4.12,yes
25856,-0.1,93.2,-42.0,4.12,no
25866,-0.1,93.2,-42.0,4.12,no
25867,-0.1,93.2,-42.0,4.12,no
25872,-0.1,93.2,-42.0,4.12,no
25874,-0.1,93.2,-42.0,4.12,no
25876,-0.1,93.2,-42.0,4.12,no
25877,-0.1,93.2,-42.0,4.12,no
25882,-0.1,93.2,-42.0,4.12,no
25887,-0.1,93.2,-42.0,4.12,no
25888,-0.1,93.2,-42.0,4.12,no
25895,-0.1,93.2,-42.0,4.12,no
25897,-0.1,93.2,-42.0,4.12,no
25905,-0.1,93.2,-42.0,4.12,no
25917,-0.1,93.2,-42.0,4.12,no
25921,-0.1,93.2,-42.0,4.12,no
25922,-0.1,93.2,-42.0,4.12,no
25927,-0.1,93.2,-42.0,4.12,no
25935,-0.1,93.2,-42.0,4.12,no
25940,-0.1,93.2,-42.0,4.12,no
25944,-0.1,93.2,-42.0,4.12,no
25953,-0.1,93.2,-42.0,4.12,no
25955,-0.1,93.2,-42.0,4.12,no
25961,-0.1,93.2,-42.0,4.12,no
25963,-0.1,93.2,-42.0,4.12,no
25966,-0.1,93.2,-42.0,4.12,no
25972,-0.1,93.2,-42.0,4.12,no
25977,-0.1,93.2,-42.0,4.12,no
25978,-0.1,93.2,-42.0,4.12,no
25979,-0.1,93.2,-42.0,4.12,no
25982,-0.1,93.2,-42.0,4.12,no
25991,-0.1,93.2,-42.0,4.12,no
25996,-0.1,93.2,-42.0,4.12,no
25999,-0.1,93.2,-42.0,4.12,no
26001,-0.1,93.2,-42.0,4.12,no
26002,-0.1,93.2,-42.0,4.12,no
26003,-0.1,93.2,-42.0,4.12,no
26010,-0.1,93.2,-42.0,4.12,no
26020,-0.1,93.2,-42.0,4.12,no
26023,-0.1,93.2,-42.0,4.12,no
26034,-0.1,93.2,-42.0,4.12,no
26044,-0.1,93.2,-42.0,4.12,no
26047,-0.1,93.2,-42.0,4.12,yes
26048,-0.1,93.2,-42.0,4.12,no
26052,-0.1,93.2,-42.0,4.12,no
26061,-0.1,93.2,-42.0,4.12,no
26063,-0.1,93.2,-42.0,4.12,no
26068,-0.1,93.2,-42.0,4.12,no
26079,-0.1,93.2,-42.0,4.12,no
26082,-0.1,93.2,-42.0,4.12,no
26085,-0.1,93.2,-42.0,4.12,no
26086,-0.1,93.2,-42.0,4.12,no
26090,-0.1,93.2,-42.0,4.12,no
26092,-0.1,93.2,-42.0,4.12,no
26093,-0.1,93.2,-42.0,4.12,no
26096,-0.1,93.2,-42.0,4.12,no
26104,-0.1,93.2,-42.0,4.12,no
26114,-0.1,93.2,-42.0,4.12,no
26119,-0.1,93.2,-42.0,4.12,no
26136,-0.1,93.2,-42.0,4.12,no
26140,-0.1,93.2,-42.0,4.12,no
26144,-0.1,93.2,-42.0,4.12,no
26148,-0.1,93.2,-42.0,4.12,no
26150,-0.1,93.2,-42.0,4.12,no
26154,-0.1,93.2,-42.0,4.12,no
26156,-0.1,93.2,-42.0,4.12,no
26166,-0.1,93.2,-42.0,4.12,no
26168,-0.1,93.2,-42.0,4.12,no
26172,-0.1,93.2,-42.0,4.12,no
26185,-0.1,93.2,-42.0,4.0760000000000005,no
26192,-0.1,93.2,-42.0,4.0760000000000005,no
26194,-0.1,93.2,-42.0,4.0760000000000005,no
26197,-0.1,93.2,-42.0,4.0760000000000005,no
26207,-0.1,93.2,-42.0,4.0760000000000005,no
26217,-0.1,93.2,-42.0,4.0760000000000005,no
26219,-0.1,93.2,-42.0,4.0760000000000005,no
26225,-0.1,93.2,-42.0,4.0760000000000005,no
26228,-0.1,93.2,-42.0,4.0760000000000005,no
26243,-0.1,93.2,-42.0,4.0760000000000005,no
26246,-0.1,93.2,-42.0,4.0760000000000005,yes
26249,-0.1,93.2,-42.0,4.0760000000000005,no
26250,-0.1,93.2,-42.0,4.0760000000000005,no
26258,-0.1,93.2,-42.0,4.0760000000000005,no
26264,-0.1,93.2,-42.0,4.0760000000000005,no
26275,-0.1,93.2,-42.0,4.0760000000000005,no
26295,-0.1,93.2,-42.0,4.0760000000000005,no
26300,-0.1,93.2,-42.0,4.0760000000000005,no
26302,-0.1,93.2,-42.0,4.0760000000000005,no
26303,-0.1,93.2,-42.0,4.0760000000000005,no
26311,-0.1,93.2,-42.0,4.0760000000000005,no
26316,-0.1,93.2,-42.0,4.0760000000000005,no
26321,-0.1,93.2,-42.0,4.0760000000000005,no
26322,-0.1,93.2,-42.0,4.0760000000000005,no
26326,-0.1,93.2,-42.0,4.0760000000000005,no
26328,-0.1,93.2,-42.0,4.0760000000000005,no
26334,-0.1,93.2,-42.0,4.0760000000000005,no
26335,-0.1,93.2,-42.0,4.0760000000000005,no
26338,-0.1,93.2,-42.0,4.0760000000000005,no
26341,-0.1,93.2,-42.0,4.0760000000000005,no
26346,-0.1,93.2,-42.0,4.0760000000000005,no
26358,-0.1,93.2,-42.0,4.0760000000000005,no
26365,-0.1,93.2,-42.0,4.0760000000000005,no
26368,-0.1,93.2,-42.0,4.0760000000000005,no
26371,-0.1,93.2,-42.0,4.0760000000000005,no
26383,-0.1,93.2,-42.0,4.0760000000000005,no
26396,-0.1,93.2,-42.0,4.0760000000000005,no
26405,-0.1,93.2,-42.0,4.0760000000000005,no
26409,-0.1,93.2,-42.0,4.0760000000000005,no
26428,-0.1,93.2,-42.0,4.0760000000000005,no
26441,-0.1,93.2,-42.0,4.0760000000000005,yes
26444,-0.1,93.2,-42.0,4.0760000000000005,no
26448,-0.1,93.2,-42.0,4.0760000000000005,no
26460,-0.1,93.2,-42.0,4.0760000000000005,no
26468,-0.1,93.2,-42.0,4.0760000000000005,no
26471,-0.1,93.2,-42.0,4.0760000000000005,no
26474,-0.1,93.2,-42.0,4.0760000000000005,no
26476,-0.1,93.2,-42.0,4.0760000000000005,no
26479,-0.1,93.2,-42.0,4.0760000000000005,no
26480,-0.1,93.2,-42.0,4.0760000000000005,no
26481,-0.1,93.2,-42.0,4.0760000000000005,no
26486,-0.1,93.2,-42.0,4.0760000000000005,no
26494,-0.1,93.2,-42.0,4.0760000000000005,no
26504,-0.1,93.2,-42.0,4.0760000000000005,no
26511,-0.1,93.2,-42.0,4.0760000000000005,yes
26513,-0.1,93.2,-42.0,4.0760000000000005,no
26519,-0.1,93.2,-42.0,4.0760000000000005,no
26522,-0.1,93.2,-42.0,4.0760000000000005,no
26526,-0.1,93.2,-42.0,4.0760000000000005,no
26529,-0.1,93.2,-42.0,4.0760000000000005,no
26532,-0.1,93.2,-42.0,4.0760000000000005,no
26539,-0.1,93.2,-42.0,4.0760000000000005,no
26549,-0.1,93.2,-42.0,4.0760000000000005,no
26564,-0.1,93.2,-42.0,4.0760000000000005,no
26570,-0.1,93.2,-42.0,4.0760000000000005,no
26574,-0.1,93.2,-42.0,4.0760000000000005,no
26584,-0.1,93.2,-42.0,4.0760000000000005,no
26598,-0.1,93.2,-42.0,4.0760000000000005,no
26601,-0.1,93.2,-42.0,4.0760000000000005,no
26604,-0.1,93.2,-42.0,4.0760000000000005,no
26605,-0.1,93.2,-42.0,4.0760000000000005,no
26609,-0.1,93.2,-42.0,4.0760000000000005,no
26625,-0.1,93.2,-42.0,4.0760000000000005,no
26630,-0.1,93.2,-42.0,4.0760000000000005,no
26636,-0.1,93.2,-42.0,4.0760000000000005,no
26646,-0.1,93.2,-42.0,4.0760000000000005,no
26649,-0.1,93.2,-42.0,4.0760000000000005,no
26652,-0.1,93.2,-42.0,4.0760000000000005,no
26654,-0.1,93.2,-42.0,4.0760000000000005,no
26657,-0.1,93.2,-42.0,4.0760000000000005,yes
26663,-0.1,93.2,-42.0,4.0760000000000005,no
26672,-0.1,93.2,-42.0,4.0760000000000005,no
26674,-0.1,93.2,-42.0,4.0760000000000005,no
26676,-0.1,93.2,-42.0,4.0760000000000005,yes
26686,-0.1,93.2,-42.0,4.0760000000000005,no
26700,-0.1,93.2,-42.0,4.0760000000000005,no
26705,-0.1,93.2,-42.0,4.0760000000000005,no
26709,-0.1,93.2,-42.0,4.0760000000000005,no
26712,-0.1,93.2,-42.0,4.0760000000000005,no
26713,-0.1,93.2,-42.0,4.0760000000000005,no
