ID,age,job,marital,education,default,housing,loan,previous
24362,52,entrepreneur,married,basic.9y,no,,,1
24363,43,technician,married,professional.course,no,yes,no,1
24372,42,technician,married,high.school,no,no,no,1
24373,39,admin.,married,,no,yes,yes,1
24375,52,management,divorced,university.degree,no,yes,no,1
24379,42,admin.,married,high.school,no,no,no,1
24382,43,blue-collar,single,basic.4y,no,yes,no,1
24385,42,admin.,married,,no,no,no,1
24386,50,blue-collar,married,basic.9y,no,yes,yes,1
24388,41,blue-collar,married,high.school,,yes,no,1
24392,37,unemployed,married,high.school,no,no,no,1
24397,50,entrepreneur,married,university.degree,,yes,no,1
24399,32,admin.,single,university.degree,no,no,no,1
24411,47,admin.,divorced,professional.course,no,no,no,1
24415,45,entrepreneur,married,high.school,no,no,no,1
24417,39,management,married,university.degree,no,no,no,1
24430,38,admin.,single,basic.9y,no,yes,no,1
24433,46,admin.,married,high.school,no,no,no,1
24439,53,services,married,high.school,no,no,no,1
24444,32,admin.,single,high.school,no,yes,no,1
24445,42,admin.,single,high.school,no,yes,no,1
24446,42,admin.,single,high.school,no,yes,no,1
24455,38,technician,single,professional.course,no,yes,no,1
24457,29,admin.,married,university.degree,no,no,no,1
24459,46,admin.,married,university.degree,,no,no,1
24463,42,admin.,married,university.degree,no,no,no,1
24464,40,blue-collar,married,basic.6y,no,no,no,1
24467,38,technician,married,professional.course,no,yes,no,1
24470,37,management,divorced,,no,no,yes,1
24482,36,self-employed,single,university.degree,no,yes,no,1
24487,36,unemployed,divorced,high.school,no,no,no,1
24491,29,admin.,married,high.school,no,yes,yes,1
24504,39,unemployed,married,professional.course,no,yes,no,1
24506,43,admin.,married,university.degree,no,yes,no,1
24518,38,management,divorced,university.degree,no,no,no,1
24519,31,technician,single,high.school,no,no,no,1
24525,39,unemployed,married,university.degree,,yes,no,1
24529,32,self-employed,single,high.school,no,yes,no,1
24531,48,entrepreneur,married,university.degree,,yes,no,1
24541,54,housemaid,single,basic.9y,,no,no,1
24542,31,self-employed,married,university.degree,no,yes,yes,1
24551,55,admin.,married,high.school,,no,no,1
24553,50,blue-collar,married,basic.6y,no,yes,no,1
24555,55,admin.,divorced,high.school,no,yes,no,1
24557,40,technician,single,basic.9y,,yes,yes,1
24563,42,admin.,married,university.degree,no,yes,no,1
24567,46,self-employed,married,basic.9y,,no,no,1
24571,35,blue-collar,divorced,high.school,no,no,yes,1
24574,42,housemaid,married,university.degree,no,no,no,1
24578,46,self-employed,married,basic.9y,,no,yes,1
24579,37,entrepreneur,married,university.degree,,no,no,1
24580,46,technician,married,high.school,no,yes,no,1
24595,58,self-employed,married,university.degree,no,no,no,1
24600,42,admin.,divorced,high.school,no,,,1
24602,35,blue-collar,married,basic.9y,no,yes,no,1
24603,49,management,married,high.school,,yes,no,1
24606,46,entrepreneur,married,university.degree,no,yes,yes,1
24609,50,admin.,divorced,university.degree,no,yes,no,1
24613,32,blue-collar,married,basic.9y,no,no,no,1
24614,34,services,single,high.school,no,no,no,1
24617,39,services,married,professional.course,no,yes,yes,1
24623,36,services,married,high.school,no,yes,no,1
24624,33,blue-collar,married,basic.9y,no,yes,no,1
24625,53,blue-collar,married,professional.course,no,yes,no,1
24627,46,blue-collar,married,basic.9y,no,yes,no,1
24628,37,entrepreneur,married,university.degree,,yes,no,1
24630,57,blue-collar,divorced,basic.9y,no,no,no,1
24632,51,blue-collar,married,basic.4y,no,yes,yes,1
24642,49,admin.,married,university.degree,no,yes,yes,1
24643,42,technician,married,professional.course,no,yes,yes,1
24656,52,management,married,university.degree,no,no,no,1
24662,46,entrepreneur,married,basic.4y,no,yes,no,1
24668,39,blue-collar,married,basic.9y,no,yes,no,1
24670,31,self-employed,single,university.degree,no,yes,no,1
24673,37,management,married,high.school,no,yes,no,1
24679,45,blue-collar,single,basic.9y,no,yes,yes,1
24682,35,blue-collar,married,high.school,,yes,no,1
24690,44,admin.,married,professional.course,no,no,no,1
24694,44,entrepreneur,married,university.degree,no,yes,no,1
24695,44,admin.,married,professional.course,no,no,no,1
24696,53,entrepreneur,divorced,university.degree,no,yes,no,1
24698,45,blue-collar,divorced,basic.9y,,no,no,1
24699,35,admin.,married,university.degree,no,yes,no,1
24705,52,services,divorced,high.school,,yes,yes,1
24712,42,self-employed,married,university.degree,,no,no,1
24715,42,blue-collar,divorced,basic.9y,no,yes,yes,1
24717,32,entrepreneur,married,university.degree,no,yes,yes,1
24720,37,entrepreneur,married,university.degree,,yes,no,1
24728,50,entrepreneur,married,university.degree,no,no,no,1
24730,33,technician,single,university.degree,no,no,no,1
24736,36,admin.,single,university.degree,no,yes,no,1
24738,56,technician,married,professional.course,,,,1
24740,31,management,married,university.degree,no,yes,yes,1
24755,31,technician,married,university.degree,no,,,1
24760,54,self-employed,married,basic.9y,no,yes,no,1
24761,47,unemployed,married,high.school,no,yes,no,1
24762,40,self-employed,married,basic.9y,no,no,no,1
24767,54,admin.,single,university.degree,no,yes,no,1
24770,30,blue-collar,single,high.school,no,yes,yes,1
24782,34,blue-collar,married,professional.course,no,yes,yes,1
24787,40,entrepreneur,married,basic.9y,no,yes,no,1
24788,40,management,married,university.degree,no,no,no,1
24789,34,blue-collar,married,professional.course,no,no,no,1
24795,32,services,married,high.school,no,yes,no,1
24799,31,entrepreneur,divorced,basic.4y,no,no,no,1
24801,40,self-employed,married,basic.9y,,no,no,1
24810,51,admin.,married,high.school,no,no,yes,1
24819,35,unemployed,single,basic.6y,,yes,no,1
24827,33,blue-collar,married,basic.9y,no,,,1
24845,52,management,married,high.school,no,yes,no,1
24846,40,blue-collar,married,basic.4y,no,no,no,1
24850,51,admin.,married,university.degree,no,no,no,1
24853,36,housemaid,divorced,basic.9y,no,yes,no,1
24858,33,admin.,married,high.school,no,yes,no,1
24861,46,blue-collar,married,basic.9y,no,yes,no,1
24866,31,unemployed,married,high.school,yes,no,no,1
24869,35,management,married,basic.4y,no,no,no,1
24873,54,admin.,divorced,university.degree,no,yes,no,1
24875,43,blue-collar,single,basic.4y,no,yes,no,1
24876,48,admin.,married,,,no,no,1
24878,39,management,single,high.school,,no,no,1
24889,47,housemaid,divorced,professional.course,no,no,yes,1
24898,48,admin.,single,university.degree,no,no,no,1
24901,38,blue-collar,married,basic.9y,no,no,no,1
24905,50,services,married,high.school,no,yes,no,1
24906,34,blue-collar,married,basic.9y,no,no,no,1
24908,54,entrepreneur,married,basic.4y,no,yes,no,1
24910,52,admin.,single,basic.9y,no,yes,no,1
24916,32,admin.,married,university.degree,no,yes,no,1
24917,37,blue-collar,divorced,basic.6y,no,yes,yes,1
24921,36,blue-collar,married,basic.9y,no,yes,no,1
24923,34,technician,single,university.degree,no,yes,no,1
24929,40,management,married,university.degree,no,no,no,1
24933,49,management,married,university.degree,no,yes,no,1
24934,49,management,married,university.degree,no,no,no,1
24940,36,housemaid,married,basic.4y,no,no,no,1
24943,36,technician,married,high.school,no,no,no,1
24949,32,technician,divorced,professional.course,no,yes,no,1
24954,49,blue-collar,married,basic.4y,no,no,no,1
24956,51,services,divorced,high.school,no,no,no,1
24962,48,admin.,married,university.degree,no,yes,yes,1
24965,47,services,married,high.school,no,yes,no,1
24968,47,technician,married,professional.course,no,no,no,1
24976,49,services,married,high.school,no,no,no,1
24981,51,entrepreneur,married,basic.9y,no,no,no,1
24984,57,management,married,university.degree,no,yes,yes,1
24988,48,technician,married,university.degree,no,yes,no,1
24989,50,management,married,basic.4y,no,yes,no,1
24990,46,self-employed,married,basic.4y,no,yes,yes,1
24997,50,entrepreneur,married,basic.9y,no,yes,no,1
25001,35,admin.,divorced,university.degree,no,yes,no,1
25003,52,management,married,basic.6y,no,yes,no,1
25004,51,admin.,married,high.school,no,no,yes,1
25009,35,management,single,high.school,no,yes,no,1
25010,46,technician,married,basic.9y,no,yes,no,1
25017,40,technician,married,professional.course,no,yes,no,1
25018,30,admin.,married,high.school,no,yes,no,1
25027,33,services,single,high.school,no,no,no,1
25028,39,management,married,high.school,no,no,no,1
25035,56,admin.,married,professional.course,no,yes,no,1
25040,31,services,divorced,professional.course,no,no,no,1
25048,29,management,single,university.degree,no,no,no,1
25049,41,admin.,single,high.school,no,no,no,1
25053,31,blue-collar,single,basic.9y,no,yes,no,1
25061,33,admin.,single,university.degree,no,no,no,1
25069,40,services,married,high.school,no,no,no,1
25070,50,management,single,university.degree,no,yes,no,1
25073,46,self-employed,married,basic.6y,,yes,no,1
25075,37,retired,divorced,basic.9y,,no,no,1
25076,54,management,married,university.degree,no,no,no,1
25079,37,retired,divorced,basic.9y,,yes,no,1
25086,50,unemployed,married,high.school,no,no,no,1
25095,33,entrepreneur,single,university.degree,no,yes,no,1
25096,40,blue-collar,divorced,basic.9y,no,yes,no,1
25115,48,technician,divorced,professional.course,no,,,1
25120,30,admin.,married,high.school,no,no,no,1
25124,50,admin.,single,university.degree,no,yes,no,1
25128,37,blue-collar,single,high.school,,no,no,1
25130,58,entrepreneur,married,basic.4y,no,no,yes,1
25132,38,technician,single,university.degree,no,no,no,1
25134,54,unemployed,married,basic.9y,no,yes,no,1
25144,35,self-employed,married,professional.course,no,yes,no,1
25148,31,technician,single,professional.course,no,no,no,1
25149,49,admin.,married,university.degree,no,no,no,1
25153,51,services,married,basic.9y,no,no,no,1
25156,37,management,married,university.degree,no,no,no,1
25157,35,admin.,married,high.school,no,no,yes,1
25162,35,technician,married,university.degree,no,no,no,1
25164,47,entrepreneur,divorced,university.degree,no,no,no,1
25166,43,entrepreneur,married,basic.4y,no,yes,no,1
25168,50,technician,married,professional.course,no,,,1
25174,36,blue-collar,single,basic.9y,no,yes,no,1
25185,35,blue-collar,married,professional.course,no,yes,no,1
25190,44,management,single,university.degree,no,yes,no,1
25193,33,technician,married,professional.course,no,no,no,1
25197,58,management,married,university.degree,no,yes,yes,1
25211,53,self-employed,married,basic.4y,no,yes,yes,1
25212,42,technician,married,basic.6y,no,no,no,1
25216,53,entrepreneur,married,basic.9y,no,yes,no,1
25219,41,technician,married,basic.9y,no,yes,no,1
25221,35,blue-collar,married,basic.6y,no,no,no,1
25227,32,services,divorced,high.school,no,yes,no,1
25228,32,admin.,single,university.degree,no,yes,no,1
25234,36,blue-collar,single,basic.9y,no,yes,no,1
25238,36,admin.,married,high.school,no,yes,no,1
25242,46,technician,married,professional.course,no,yes,no,1
25245,44,management,married,university.degree,no,yes,no,1
25264,46,self-employed,married,basic.4y,no,no,no,1
25269,30,management,married,university.degree,no,no,yes,1
25271,31,technician,single,university.degree,no,no,no,1
25274,34,services,married,basic.9y,no,no,no,1
25276,37,management,married,university.degree,no,no,no,1
25277,30,blue-collar,married,basic.9y,no,yes,no,1
25280,29,technician,married,professional.course,no,no,no,1
25281,37,management,single,university.degree,no,yes,no,1
25285,31,technician,single,university.degree,no,no,no,1
25287,32,admin.,divorced,high.school,no,no,no,1
25288,31,technician,single,university.degree,no,no,no,1
25292,31,admin.,married,high.school,no,yes,no,1
25293,41,technician,single,professional.course,,yes,no,1
25299,50,entrepreneur,married,basic.9y,no,yes,no,1
25305,33,entrepreneur,married,high.school,no,no,no,1
25322,32,blue-collar,married,basic.9y,no,yes,no,1
25333,42,self-employed,single,basic.4y,no,yes,no,1
25336,34,management,married,university.degree,no,yes,yes,1
25338,36,housemaid,divorced,basic.4y,no,yes,no,1
25341,57,retired,married,high.school,no,no,no,1
25342,34,admin.,married,university.degree,no,no,no,1
25344,38,technician,single,basic.9y,no,yes,no,1
25350,36,management,single,university.degree,no,yes,no,1
25359,52,technician,married,professional.course,no,yes,yes,1
25362,30,services,married,high.school,no,no,no,1
25363,29,technician,divorced,professional.course,no,no,no,1
25364,43,blue-collar,married,basic.4y,,yes,yes,1
25365,31,technician,married,university.degree,no,yes,no,1
25369,39,blue-collar,married,basic.9y,no,yes,no,1
25370,50,admin.,married,university.degree,no,no,yes,1
25374,43,technician,married,professional.course,no,yes,no,1
25375,41,admin.,single,university.degree,no,yes,no,1
25379,58,blue-collar,married,basic.9y,no,no,no,1
25383,58,blue-collar,married,basic.9y,no,yes,no,1
25387,36,blue-collar,married,basic.6y,no,no,no,1
25388,39,unemployed,married,basic.9y,,no,no,1
25389,34,technician,divorced,professional.course,no,yes,no,1
25392,48,technician,single,university.degree,no,yes,yes,1
25393,48,self-employed,married,university.degree,no,yes,no,1
25397,34,technician,married,basic.9y,no,yes,no,1
25398,39,unemployed,married,basic.9y,,no,yes,1
25400,34,admin.,married,high.school,no,no,no,1
25401,29,unemployed,divorced,university.degree,no,yes,no,1
25420,36,technician,single,professional.course,no,yes,no,1
25421,37,technician,married,professional.course,no,no,no,1
25430,40,blue-collar,married,basic.4y,no,yes,no,1
25436,29,management,single,university.degree,no,no,no,1
25440,38,admin.,divorced,university.degree,,yes,no,1
25442,33,management,married,university.degree,no,no,yes,1
25446,33,services,divorced,high.school,no,yes,no,1
25454,49,management,divorced,university.degree,no,no,no,1
25455,30,entrepreneur,married,high.school,no,no,no,1
25461,40,technician,married,professional.course,,yes,no,1
25462,38,blue-collar,married,basic.9y,no,yes,no,1
25463,46,admin.,divorced,university.degree,no,yes,yes,1
25464,39,self-employed,married,basic.4y,,no,no,1
25466,41,management,married,university.degree,no,no,no,1
25468,41,management,married,university.degree,no,no,no,1
25474,35,housemaid,single,basic.4y,,,,1
25475,29,blue-collar,married,basic.9y,no,yes,yes,1
25477,38,admin.,single,university.degree,no,yes,no,1
25481,38,technician,divorced,high.school,no,yes,no,1
25484,32,technician,single,professional.course,no,no,no,1
25497,31,unemployed,single,professional.course,no,yes,no,1
25499,37,management,married,university.degree,no,yes,no,1
25503,33,management,married,university.degree,no,no,no,1
25504,35,self-employed,single,university.degree,no,no,yes,1
25506,41,admin.,single,university.degree,no,yes,no,1
25507,44,entrepreneur,married,high.school,no,no,no,1
25510,45,technician,divorced,professional.course,,yes,yes,1
25518,34,self-employed,married,university.degree,no,yes,no,1
25519,58,management,divorced,university.degree,no,no,no,1
25534,31,technician,single,professional.course,no,no,no,1
25537,38,technician,divorced,high.school,no,yes,no,1
25542,50,blue-collar,married,basic.4y,no,yes,no,1
25545,35,technician,married,high.school,no,no,yes,1
25546,36,admin.,single,university.degree,no,no,no,1
25554,38,management,married,university.degree,no,yes,no,1
25555,30,admin.,single,high.school,no,yes,no,1
25561,31,technician,married,university.degree,no,no,no,1
25577,33,admin.,married,university.degree,no,no,no,1
25581,46,blue-collar,single,basic.4y,,no,no,1
25592,33,technician,single,high.school,no,yes,no,1
25598,38,services,married,high.school,no,no,no,1
25600,35,admin.,married,university.degree,no,yes,no,1
25604,43,management,married,university.degree,no,yes,yes,1
25607,32,student,married,university.degree,no,no,no,1
25612,34,management,single,university.degree,no,yes,no,1
25614,52,blue-collar,married,professional.course,,yes,no,1
25623,56,services,divorced,high.school,,yes,yes,1
25634,44,services,single,high.school,no,no,no,1
25641,36,management,married,university.degree,no,yes,no,1
25658,49,blue-collar,married,basic.9y,,yes,no,1
25659,28,self-employed,married,university.degree,no,yes,no,1
25661,58,management,divorced,high.school,no,yes,no,1
25667,55,admin.,married,university.degree,no,no,no,1
25676,32,entrepreneur,married,high.school,no,yes,no,1
25684,34,services,single,high.school,no,yes,no,1
25685,37,management,single,university.degree,no,yes,no,1
25692,43,admin.,single,high.school,no,no,no,1
25693,29,services,single,high.school,no,yes,no,1
25703,32,services,married,high.school,no,yes,no,1
25705,47,technician,married,university.degree,no,no,no,1
25708,34,self-employed,married,professional.course,no,yes,no,1
25720,35,blue-collar,single,professional.course,no,yes,yes,1
25722,41,admin.,married,university.degree,no,no,no,1
25728,45,admin.,married,high.school,no,yes,no,1
25734,51,entrepreneur,married,university.degree,no,no,no,1
25739,35,housemaid,divorced,basic.9y,no,no,no,1
25742,34,unemployed,married,basic.4y,,yes,no,1
25745,30,blue-collar,married,professional.course,no,no,no,1
25747,49,management,divorced,university.degree,no,no,yes,1
25749,44,services,married,high.school,no,no,no,1
25755,53,blue-collar,married,basic.9y,no,yes,no,1
25756,36,blue-collar,married,basic.6y,,no,no,1
25762,36,technician,married,high.school,no,no,no,1
25764,34,blue-collar,married,basic.6y,,yes,yes,1
25766,46,management,married,,no,yes,no,1
25771,31,technician,single,basic.9y,,yes,yes,1
25775,36,admin.,single,university.degree,no,yes,no,1
25779,31,services,married,high.school,,yes,no,1
25781,31,technician,married,basic.9y,no,yes,no,1
25783,48,technician,married,professional.course,no,no,no,1
25786,48,admin.,single,high.school,no,yes,no,1
25788,54,management,divorced,university.degree,no,yes,no,1
25803,33,services,married,high.school,no,yes,yes,1
25814,30,services,married,professional.course,no,yes,no,1
25817,35,blue-collar,single,high.school,no,no,no,1
25821,31,admin.,married,university.degree,no,yes,no,1
25823,31,services,married,high.school,no,no,no,1
25825,34,services,single,high.school,no,no,no,1
25831,35,management,single,university.degree,no,yes,yes,1
25836,52,retired,married,university.degree,,no,no,1
25843,29,services,single,high.school,no,yes,no,1
25846,30,admin.,divorced,high.school,no,no,no,1
25849,45,blue-collar,divorced,basic.9y,no,yes,no,1
25850,44,admin.,single,high.school,no,yes,no,1
25853,31,blue-collar,single,high.school,no,yes,no,1
25856,39,technician,single,professional.course,no,yes,no,1
25866,50,housemaid,divorced,high.school,no,no,no,1
25867,33,self-employed,single,basic.4y,no,no,no,1
25872,54,entrepreneur,married,university.degree,no,yes,no,1
25874,34,blue-collar,single,basic.9y,no,no,no,1
25876,37,management,divorced,university.degree,no,yes,no,1
25877,37,management,divorced,university.degree,no,no,no,1
25882,43,management,married,university.degree,no,yes,no,1
25887,38,technician,married,professional.course,no,no,no,1
25888,29,management,married,university.degree,no,no,no,1
25895,46,blue-collar,married,basic.9y,no,yes,no,1
25897,36,admin.,married,university.degree,no,yes,no,1
25905,30,blue-collar,married,basic.9y,no,yes,no,1
25917,47,admin.,married,university.degree,no,yes,no,1
25921,32,entrepreneur,married,university.degree,no,no,yes,1
25922,41,admin.,married,university.degree,no,yes,no,1
25927,32,technician,married,university.degree,no,no,yes,1
25935,38,blue-collar,married,basic.9y,no,no,no,1
25940,55,technician,married,basic.9y,no,no,yes,1
25944,33,entrepreneur,married,basic.6y,no,no,no,1
25953,30,blue-collar,single,basic.9y,no,no,no,1
25955,39,admin.,married,university.degree,no,yes,no,1
25961,56,management,married,university.degree,no,yes,yes,1
25963,31,blue-collar,single,high.school,no,yes,no,1
25966,47,blue-collar,married,basic.9y,no,yes,no,1
25972,31,admin.,married,university.degree,no,yes,yes,1
25977,51,blue-collar,married,basic.9y,no,yes,no,1
25978,39,unemployed,married,basic.9y,no,yes,no,1
25979,35,technician,single,basic.9y,no,no,no,1
25982,35,technician,single,basic.9y,no,no,no,1
25991,34,entrepreneur,single,basic.9y,no,no,no,1
25996,35,management,married,university.degree,no,yes,yes,2
25999,49,admin.,divorced,high.school,no,yes,no,1
26001,31,services,single,high.school,no,yes,no,1
26002,51,unemployed,divorced,university.degree,,yes,no,1
26003,34,services,married,high.school,no,no,no,1
26010,37,entrepreneur,married,university.degree,no,no,no,1
26020,33,admin.,single,university.degree,no,yes,no,1
26023,43,management,married,university.degree,no,no,yes,1
26034,54,blue-collar,married,basic.4y,no,yes,no,1
26044,52,admin.,married,high.school,no,yes,no,1
26047,56,entrepreneur,married,basic.9y,no,no,yes,1
26048,46,management,divorced,high.school,no,yes,no,1
26052,45,technician,married,university.degree,no,no,no,1
26061,44,services,married,high.school,no,no,no,1
26063,55,management,married,university.degree,no,no,no,1
26068,41,housemaid,divorced,university.degree,no,no,no,1
26079,39,services,divorced,high.school,no,yes,no,1
26082,48,housemaid,married,basic.6y,no,yes,no,1
26085,32,admin.,single,university.degree,no,no,no,1
26086,50,admin.,married,high.school,no,no,no,1
26090,40,technician,divorced,high.school,no,yes,yes,1
26092,46,admin.,single,high.school,no,yes,no,1
26093,44,entrepreneur,married,university.degree,no,no,yes,1
26096,54,blue-collar,married,basic.6y,,no,no,1
26104,39,blue-collar,married,basic.6y,no,yes,yes,1
26114,32,technician,married,professional.course,no,yes,yes,1
26119,29,admin.,divorced,professional.course,no,no,yes,1
26136,29,services,single,high.school,no,yes,no,1
26140,54,management,married,basic.6y,no,yes,no,1
26144,29,services,married,basic.6y,no,no,no,1
26148,50,entrepreneur,married,university.degree,no,yes,no,1
26150,30,services,married,high.school,no,no,no,1
26154,38,technician,married,professional.course,no,no,no,1
26156,48,admin.,married,university.degree,no,yes,no,1
26166,34,management,single,high.school,no,yes,yes,1
26168,35,housemaid,single,basic.4y,,yes,no,1
26172,30,services,married,high.school,no,yes,no,1
26185,33,management,single,university.degree,no,yes,no,1
26192,49,admin.,divorced,professional.course,no,no,no,1
26194,31,admin.,married,university.degree,no,yes,no,1
26197,42,admin.,married,university.degree,no,yes,no,1
26207,37,management,married,,no,no,no,1
26217,51,unemployed,divorced,university.degree,no,no,no,1
26219,29,admin.,,professional.course,no,yes,no,1
26225,29,technician,married,professional.course,no,no,no,1
26228,52,self-employed,divorced,basic.9y,no,yes,no,1
26243,56,entrepreneur,married,university.degree,,no,no,1
26246,32,blue-collar,single,basic.9y,no,yes,no,1
26249,37,entrepreneur,married,high.school,,no,no,1
26250,58,management,married,,no,no,no,1
26258,35,blue-collar,single,basic.6y,no,no,no,1
26264,46,admin.,married,university.degree,no,no,no,1
26275,46,self-employed,divorced,basic.9y,,,,1
26295,32,admin.,divorced,university.degree,no,yes,no,1
26300,45,blue-collar,single,high.school,no,no,no,1
26302,53,technician,divorced,high.school,no,no,no,1
26303,29,technician,single,university.degree,no,yes,no,1
26311,30,admin.,single,basic.9y,no,no,no,1
26316,30,technician,married,university.degree,no,no,yes,1
26321,35,entrepreneur,married,university.degree,,yes,no,1
26322,38,blue-collar,married,basic.4y,no,yes,no,1
26326,29,admin.,single,high.school,no,yes,no,1
26328,31,services,single,high.school,no,yes,no,1
26334,32,technician,single,university.degree,no,yes,no,1
26335,32,entrepreneur,single,university.degree,no,no,yes,1
26338,36,unemployed,married,basic.6y,no,yes,no,1
26341,32,technician,single,university.degree,no,no,no,1
26346,32,entrepreneur,single,university.degree,no,yes,yes,1
26358,30,services,married,high.school,,yes,no,1
26365,50,management,married,university.degree,no,no,no,1
26368,35,admin.,married,university.degree,no,yes,no,1
26371,30,admin.,single,university.degree,no,yes,no,1
26383,30,admin.,married,high.school,no,yes,no,1
26396,30,admin.,single,university.degree,no,yes,no,1
26405,32,technician,single,university.degree,no,,,1
26409,31,blue-collar,single,basic.4y,no,no,no,1
26428,33,blue-collar,divorced,basic.9y,no,yes,no,1
26441,56,blue-collar,married,basic.9y,no,yes,no,1
26444,36,technician,married,professional.course,no,no,no,1
26448,46,admin.,married,high.school,no,yes,no,1
26460,53,technician,married,professional.course,no,no,no,1
26468,30,self-employed,single,university.degree,no,yes,no,1
26471,48,admin.,married,university.degree,no,yes,no,1
26474,31,technician,married,high.school,no,no,no,1
26476,56,housemaid,divorced,high.school,no,yes,no,1
26479,48,admin.,married,university.degree,no,no,no,1
26480,34,entrepreneur,married,university.degree,no,yes,no,1
26481,34,technician,married,university.degree,no,no,no,1
26486,38,self-employed,married,professional.course,no,no,no,1
26494,55,entrepreneur,married,professional.course,no,yes,no,1
26504,40,technician,married,professional.course,no,yes,no,1
26511,30,entrepreneur,single,university.degree,no,yes,no,1
26513,30,admin.,single,university.degree,no,no,no,1
26519,45,services,divorced,high.school,no,no,no,1
26522,41,blue-collar,single,basic.9y,no,no,no,1
26526,43,blue-collar,married,basic.9y,no,yes,no,1
26529,33,unemployed,single,university.degree,no,no,no,1
26532,39,blue-collar,married,basic.9y,no,no,no,1
26539,30,management,single,university.degree,no,no,no,1
26549,58,blue-collar,married,basic.9y,,yes,no,1
26564,33,services,married,high.school,,yes,no,1
26570,42,services,married,basic.6y,no,no,no,1
26574,33,technician,divorced,professional.course,no,yes,no,1
26584,50,technician,married,professional.course,no,yes,no,1
26598,50,self-employed,divorced,university.degree,no,yes,no,1
26601,48,technician,divorced,professional.course,no,yes,no,1
26604,50,technician,married,high.school,no,yes,no,1
26605,43,management,married,university.degree,no,yes,no,1
26609,53,management,married,high.school,no,no,no,1
26625,31,unemployed,single,professional.course,no,no,no,1
26630,30,blue-collar,married,basic.6y,no,yes,yes,1
26636,31,technician,married,basic.6y,no,yes,no,1
26646,38,blue-collar,married,basic.4y,no,no,no,1
26649,29,technician,single,professional.course,,yes,yes,1
26652,39,management,divorced,university.degree,no,yes,no,1
26654,33,unemployed,single,university.degree,no,yes,no,1
26657,53,management,married,university.degree,no,yes,no,1
26663,34,unemployed,married,high.school,no,,,1
26672,34,blue-collar,married,basic.4y,no,no,no,1
26674,56,housemaid,divorced,basic.4y,no,yes,no,1
26676,32,management,single,university.degree,no,no,no,1
26686,34,management,married,university.degree,no,no,no,1
26700,36,admin.,single,university.degree,no,no,no,1
26705,30,self-employed,single,university.degree,no,yes,no,1
26709,35,admin.,single,university.degree,no,yes,no,1
26712,37,technician,married,professional.course,no,yes,no,1
26713,36,blue-collar,single,basic.6y,no,no,no,1
26725,40,management,married,,no,yes,no,1
26742,32,blue-collar,divorced,basic.9y,no,yes,yes,1
26746,31,technician,single,professional.course,no,yes,no,1
26748,35,admin.,single,university.degree,no,yes,no,1
26756,34,self-employed,married,illiterate,no,yes,no,1
26758,29,technician,single,professional.course,,no,no,1
26760,39,entrepreneur,married,professional.course,no,yes,no,1
26764,50,admin.,single,university.degree,no,yes,yes,1
26765,32,admin.,married,university.degree,no,yes,no,1
26780,39,admin.,single,high.school,no,yes,yes,1
26790,41,blue-collar,married,basic.4y,no,no,no,1
